一层人数  二层人数  总人数 总步数
100	100	200	92
150	150	300	99
200	200	400	99
250	250	500	100
300	300	600	113
350	350	700	110
400	400	800	115
450	450	900	142
500	500	1000	211
550	550	1100	249
600	600	1200	173
650	650	1300	151
700	700	1400	188
750	750	1500	198
800	800	1600	303
850	850	1700	216
900	900	1800	236
950	950	1900	216
